"Informazioni cronologiche","Excel","Python (matplotlib+seaborn)","R (ggplot2)","Javascript (d3.js, plot.ly)","Tableau"
"2020/11/18 3:13:22 PM CET","2","6","6","4","6"
"2020/11/18 3:13:22 PM CET","5","4","4","4","5"
"2020/11/18 3:13:24 PM CET","2","5","4","6","6"
"2020/11/18 3:13:24 PM CET","5","5","1","6","2"
"2020/11/18 3:13:24 PM CET","3","6","5","5","6"
"2020/11/18 3:13:24 PM CET","5","2","3","3","4"
"2020/11/18 3:13:25 PM CET","","2","2","2","5"
"2020/11/18 3:13:25 PM CET","6","6","3","5","5"
"2020/11/18 3:13:25 PM CET","1","6","6","4","6"
"2020/11/18 3:13:26 PM CET","2","4","4","1","6"
"2020/11/18 3:13:28 PM CET","1","6","5","6","6"
"2020/11/18 3:13:29 PM CET","4","6","2","3","6"
"2020/11/18 3:13:29 PM CET","5","6","4","5","5"
"2020/11/18 3:13:31 PM CET","2","3","3","3","5"
"2020/11/18 3:13:33 PM CET","6","5","5","2","3"
"2020/11/18 3:13:33 PM CET","1","5","1","6","4"
"2020/11/18 3:13:34 PM CET","2","5","5","5","6"
"2020/11/18 3:13:35 PM CET","1","6","6","1","6"
"2020/11/18 3:13:36 PM CET","6","6","6","6","5"
"2020/11/18 3:13:39 PM CET","2","5","4","1","6"
"2020/11/18 3:13:39 PM CET","5","6","6","4","4"
"2020/11/18 3:13:44 PM CET","2","5","4","3","5"
"2020/11/18 3:13:45 PM CET","4","5","4","2","6"
"2020/11/18 3:13:46 PM CET","2","6","6","5","6"
"2020/11/18 3:13:47 PM CET","3","5","3","4","4"
"2020/11/18 3:13:49 PM CET","2","6","6","6","6"
"2020/11/18 3:13:49 PM CET","1","4","4","1","6"
"2020/11/18 3:13:51 PM CET","6","6","1","2","6"
"2020/11/18 3:13:51 PM CET","5","4","3","4","4"
"2020/11/18 3:13:52 PM CET","2","4","5","2","6"
"2020/11/18 3:13:53 PM CET","4","5","5","5","5"
"2020/11/18 3:13:56 PM CET","4","6","2","5","6"
"2020/11/18 3:13:56 PM CET","6","4","3","4","6"
"2020/11/18 3:13:57 PM CET","5","4","3","4","4"
"2020/11/18 3:13:58 PM CET","1","5","3","3","5"
"2020/11/18 3:13:58 PM CET","1","6","4","6","5"
"2020/11/18 3:14:00 PM CET","5","4","6","2","6"
"2020/11/18 3:14:00 PM CET","4","6","6","3","4"
"2020/11/18 3:14:02 PM CET","1","5","5","2","5"
"2020/11/18 3:14:03 PM CET","4","5","5","6","6"
"2020/11/18 3:14:08 PM CET","3","6","4","4","5"
"2020/11/18 3:14:09 PM CET","2","6","5","5","6"
"2020/11/18 3:14:11 PM CET","2","6","5","6","6"
"2020/11/18 3:14:16 PM CET","4","5","6","1","6"
"2020/11/18 3:14:16 PM CET","5","6","6","6","6"
"2020/11/18 3:14:16 PM CET","1","1","1","6","1"
"2020/11/18 3:14:21 PM CET","3","5","2","3","5"
"2020/11/18 3:14:26 PM CET","4","1","4","1","6"
"2020/12/09 10:06:45 PM CET","1","4","4","2","5"
