"Informazioni cronologiche","Excel","Python (matplotlib+seaborn)","R (ggplot2)","Javascript (d3.js, plot.ly)","Tableau"
"2020/11/18 3:11:59 PM CET","2","6","6","6","6"
"2020/11/18 3:12:02 PM CET","5","6","1","5","6"
"2020/11/18 3:12:04 PM CET","1","6","2","1","6"
"2020/11/18 3:12:11 PM CET","4","6","6","6","6"
"2020/11/18 3:12:11 PM CET","1","5","6","5","5"
"2020/11/18 3:12:19 PM CET","4","5","1","4","6"
"2020/11/18 3:12:23 PM CET","3","6","5","6","6"
"2020/11/18 3:12:32 PM CET","6","6","1","6","4"
"2020/11/18 3:12:34 PM CET","4","5","3","5","5"
"2020/11/18 3:12:49 PM CET","1","5","5","1","6"
"2020/11/18 3:12:50 PM CET","1","6","","","6"
"2020/11/18 3:12:52 PM CET","4","6","6","6","6"
"2020/11/18 3:12:52 PM CET","3","4","1","1","5"
"2020/11/18 3:12:54 PM CET","6","5","4","2","5"
"2020/11/18 3:12:58 PM CET","1","6","6","2","4"
"2020/11/18 3:12:58 PM CET","3","6","6","6","6"
"2020/11/18 3:12:58 PM CET","1","6","6","1","6"
"2020/11/18 3:12:59 PM CET","3","6","5","3","6"
"2020/11/18 3:12:59 PM CET","1","6","2","3","5"
"2020/11/18 3:13:00 PM CET","6","5","4","2","4"
"2020/11/18 3:13:00 PM CET","1","5","5","3","6"
"2020/11/18 3:13:00 PM CET","3","6","2","2","2"
"2020/11/18 3:13:02 PM CET","2","6","5","4","5"
"2020/11/18 3:13:03 PM CET","3","6","6","1","2"
"2020/11/18 3:13:07 PM CET","3","6","5","5","5"
"2020/11/18 3:13:08 PM CET","5","4","6","2","5"
"2020/11/18 3:13:08 PM CET","5","6","2","4","6"
"2020/11/18 3:13:09 PM CET","6","5","4","3","5"
"2020/11/18 3:13:10 PM CET","4","5","2","6","6"
"2020/11/18 3:13:10 PM CET","5","6","5","5","6"
"2020/11/18 3:13:10 PM CET","1","6","6","1","1"
"2020/11/18 3:13:11 PM CET","","6","","","6"
"2020/11/18 3:13:11 PM CET","1","6","2","2","6"
"2020/11/18 3:13:11 PM CET","2","5","5","2","6"
"2020/11/18 3:13:11 PM CET","3","6","5","2","5"
"2020/11/18 3:13:11 PM CET","4","5","3","3","5"
"2020/11/18 3:13:13 PM CET","5","6","5","5","6"
"2020/11/18 3:13:13 PM CET","5","3","2","3","5"
"2020/11/18 3:13:14 PM CET","1","6","1","1","6"
"2020/11/18 3:13:14 PM CET","4","5","1","5","6"
"2020/11/18 3:13:15 PM CET","6","6","5","2","4"
"2020/11/18 3:13:15 PM CET","1","6","5","1","6"
"2020/11/18 3:13:16 PM CET","4","5","6","2","6"
"2020/11/18 3:13:17 PM CET","5","6","1","2","1"
"2020/11/18 3:13:17 PM CET","5","2","1","3","4"
"2020/11/18 3:13:17 PM CET","4","5","6","3","3"
"2020/11/18 3:13:17 PM CET","1","6","4","1","6"
"2020/11/18 3:13:18 PM CET","1","6","3","4","6"
"2020/11/18 3:13:18 PM CET","3","5","4","5","5"
"2020/11/18 3:13:18 PM CET","4","6","3","4","4"
"2020/11/18 3:13:19 PM CET","6","6","6","6","6"
"2020/11/18 3:13:19 PM CET","1","6","6","3","6"
"2020/11/18 3:13:19 PM CET","","6","3","6","6"
"2020/11/18 3:13:19 PM CET","1","6","3","4","6"
"2020/11/18 3:13:20 PM CET","6","3","3","4","4"
"2020/11/18 3:13:20 PM CET","4","6","5","4","6"
"2020/11/18 3:13:21 PM CET","4","6","4","4","6"
